BND
DBC
IAU
SH
SPY
TLT
VFH
VIG
VIS
VNQ
VPU
VTI
VWO
VHT
VYM
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
CTXS
MSFT
AAPL
SLB
PYPL
